           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
 4282978.224632 [0005]  sh[27077]                           0.033      0.000      1.419 
 4282978.224632 [0004]  bash[27082]                         0.000      0.029      0.172 
 4282978.224635 [0004]  <idle>                              0.172      0.000      0.002 
 4282978.224640 [0004]  kworker/4:3[19222]                  0.000      0.000      0.005 
 4282978.224647 [0008]  bash[27083]                         0.000      0.041      0.122 
 4282978.224652 [0008]  migration/8[57]                     0.000      0.001      0.005 
 4282978.224660 [0006]  <idle>                              0.596      0.000      1.741 
 4282978.224661 [0000]  <idle>                              0.006      0.000      5.834 
 4282978.224668 [0006]  bash[27081]                         0.135      0.032      0.008 
 4282978.224948 [0008]  <idle>                              0.348      0.000      0.295 
 4282978.224980 [0008]  avahi-daemon[1123]                  0.000      0.023      0.031 
 4282978.224998 [0009]  <idle>                              0.293      0.000      0.683 
 4282978.225005 [0009]  bash[27080]                         0.683      0.001      0.006 
 4282978.225048 [0000]  tr[27083]                           0.014      0.000      0.387 
 4282978.225048 [0006]  <idle>                              0.008      0.000      0.380 
 4282978.225052 [0000]  <idle>                              0.387      0.000      0.003 
 4282978.225057 [0000]  kworker/0:0[20729]                  0.000      0.000      0.004 
 4282978.225129 [0009]  <idle>                              0.006      0.000      0.124 
 4282978.225133 [0006]  bash[27081]                         0.380      0.001      0.084 
 4282978.225207 [0010]  <idle>                              1.113      0.000      1.173 
 4282978.225214 [0010]  bash[27078]                         1.173      0.028      0.007 
 4282978.225273 [0009]  bash[27080]                         0.124      0.001      0.143 
 4282978.225297 [0010]  <idle>                              0.007      0.000      0.082 
 4282978.225404 [0008]  <idle>                              0.031      0.000      0.424 
 4282978.225408 [0010]  bash[27078]                         0.082      0.029      0.111 
 4282978.225567 [0002]  <idle>                              0.012      0.000     57.181 
 4282978.225581 [0008]  bash[27086]                         0.000      0.026      0.176 
 4282978.225740 [0002]  bash[27087]                         0.000      0.005      0.173 
 4282978.225988 [0001]  bash[27085]                         0.000      0.003      1.367 
 4282978.225996 [0010]  <idle>                              0.111      0.000      0.587 
 4282978.225996 [0004]  <idle>                              0.005      0.000      1.355 
 4282978.226015 [0008]  <idle>                              0.176      0.000      0.434 
 4282978.226028 [0004]  fzf[8489/4922]                     99.131      0.001      0.032 
 4282978.226028 [0010]  fzf[18638/18636]                   99.131      0.001      0.032 
 4282978.226169 [0004]  <idle>                              0.032      0.000      0.141 
 4282978.226207 [0010]  <idle>                              0.032      0.000      0.179 
 4282978.226222 [0008]  bash[27089]                         0.000      0.046      0.207 
 4282978.226519 [0010]  bash[27091]                         0.000      0.002      0.312 
 4282978.226589 [0010]  bash[27092]                         0.000      0.060      0.069 
 4282978.226597 [0010]  migration/10[69]                    0.000      0.001      0.007 
 4282978.226617 [0000]  <idle>                              0.004      0.000      1.559 
 4282978.226792 [0001]  <idle>                              1.367      0.000      0.804 
 4282978.226793 [0009]  <idle>                              0.143      0.000      1.519 
 4282978.226799 [0001]  rcu_sched[8]                        7.966      0.004      0.007 
 4282978.226914 [0008]  <idle>                              0.207      0.000      0.691 
